ordinance,name,text
Santa Monica — 4.08.095,Anti-camping/enforcement provision,"Santa Monica had an existing, unenforceable camping ordinance. In September 2024, they amended it to reinstate and enforce it. 4.08.095 Prohibition against camping in public places. Ordinance extends even to sleeping bags, pillows, and blankets."
Baldwin Park — codes 99.01-99.04,Anti-camping/enforcement provision,"Existing codes 99.01-99.04 banned camping, which was unenforceable until Grants Pass decision. Enforcement has likely begun again, as shown in a July 2024 internal staff memo recommending it."
Hermosa Beach — (no code section cited in source),Anti-camping/enforcement provision,"10/31/24 Press release said that anti-camping ordinances will be enforced post Grants Pass. Language: ""Enforcing Public Camping & Loitering Regulations: In line with the recent Supreme Court Grants Pass decision, local laws prohibit camping or sleeping in vehicles on public streets and overnight camping on the beach. Hermosa Beach also enforces laws that prevent loitering in public spaces that obstruct pedestrian movement or cause quality of life impacts.""  - Hermosa is currently considering a new ordinance - return!"
Arcadia — (no code section cited in source),Anti-camping/enforcement provision,"City of Arcadia website - Arcadia’s anti-camping laws paused enforcement after *Martin v. Boise*, and have resumed post-Grants Pass"
Glendale — 9.28.010-9.28.040,Anti-camping/enforcement provision,Existing ordinance 9.28.010-9.28.040 prohibited camping. Glendale city council voted to resume enforcement.
Long Beach — (no code section cited in source),Anti-camping/enforcement provision,"Long Beach PD now has discretion to enforce existing anti-camping ordinance. Internal memo primarily discusses citations, but also arrests, especially following repeated complaints or ""related criminal conduct."" Long Beach has been conducting widespread sweeps."
Malibu — 8.36.050,Anti-camping/enforcement provision,"Per Malibu city website - said that Grants Pass won't change much, but did specify 72-hour notices to vacate encampments on public property, when they violate 8.36.050. Will cite unhoused people with ""cite and release"" system."
Irwindale — (no code section cited in source),Proposed anti-camping provision,"2024 election - Irwindale passed a measure for a slight sales tax increase to fund, among many other things, ""cleaning up homeless encampments."""
Arcadia — (no code section cited in source),Anti-camping/enforcement provision,"Arcadia had an existing camping ordinance that was unenforceable under Martin. Per their website, they will resume enforcement."
San Dimas — (no code section cited in source),Proposed anti-camping provision,"San Dimas actually amended their municipal code (not just changing enforcement for an additional code, post Grants Pass). That's code 1310. It is standard language, authorizing citations for storage of belongings on public property and erecting campsites/using camp equpment, with general language about promoting the health and safety of the community."
Pasadena — (no code section cited in source),Anti-camping/enforcement provision,"Probably enforcing their standard 2016 camping ordinance. Although the most recent news (September 2024) only said that the mayor and City Council were ""discussing"" actions in light of Grants Pass, and that they were not criminalizing homelessness, they did receive a $2.7 million ""Encampment Resolution"" grant from the state in October."
San Fernando — (no code section cited in source),Proposed anti-camping provision,"Actually adopted a new ordinance - ""Prohibit Encampments and Storage of Personal Property in Public Places"" - prosecution as a misdemeanor or public nuisance. 72 hour notice of sweeps."
Signal Hill — (no code section cited in source),Proposed anti-camping provision,"Signal Hill updated its camping ordinance in August 2024 to enforce anti-camping post-Grants Pass. Extends to camping, ""camp facilities,"" and ""camp paraphernalia."
Torrance — (no code section cited in source),Proposed anti-camping provision,"Torrance updated its camping ordinance to prohibit camping in public places, fires in parks and public places, ""maintaining shelters,"" and ""loitering at bus stops."""
Whittier — Ordinance no. 3105,Proposed anti-camping provision,"Whittier had an existing camping ordinance and released a statement of support post-Grants Pass, though hasn't updated its municipal code. Is probably enforcing the existng ordinance, which extends to bedding. Ordinance no. 3105."
Redondo Beach — (no code section cited in source),Proposed anti-camping provision,"Redondo Beach, in accordance with Grants Pass, may restrict camping near supportive housing."
Manhattan Beach — (no code section cited in source),Anti-camping/enforcement provision,"Manhattan Beach's camping provision (4.140), enacted shortly before Boise, and includes pillows and sleeping materials, and personal property, is now being enforced."
Los Angeles — (no code section cited in source),Anti-camping/enforcement provision,"The City of LA has been resisting Newsom's encampment clearance policies, however already had an anti-camping ordinance on the books, pre-Boise. Reporting on that ordinance says that it cost $3 million and permanently housed two people."
El Segundo — (no code section cited in source),Proposed anti-camping provision,9/17/24 - El Segundo City Council amended the municipal code with new camping ordinances. Encampments on public property will be given 24 hour clearance notices. PATCHES team offers outreach.
Carlsbad — (no code section cited in source),Aug. 2024,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments."
Carlsbad — (no code section cited in source),Aug. 2024,"Aug. 2024
City of Carlsbad accepted $5.3 mil from Encampment Resolution Funding Program to ""address"" State Route 78 encampments."
"Chula Visa — Chula Vista, Cal., Code § 9.90.020 (2024)",Definitions,"Definitions
""'Campsite' means any place where
(1) bedding, sleeping bag, or other material used for bedding purposes,
(2) or any stove or fire is placed, established, or maintained for the purpose of maintaining a temporary or permanent place to live, whether or not such place incorporates the use of any tent, lean-to, shack or any other structure.""
 Chula Vista, Cal., Code § 9.90.020 (2024)"
"Chula Visa — Chula Vista, Cal., Code § 9.90.030 (2024)",Prohibited Conduct,"Prohibited Conduct
Prohibits Sitting, Lying, Sleeping, or Storage on a street, sidewalk, or public property ""in a manner that impedes passage, as provided by the ADA.""
Chula Vista, Cal., Code § 9.90.030 (2024)."
"Chula Visa — Chula Vista, Cal., Code § 9.90.040 (2024)",Prohibited Conduct,"Prohibited Conduct
Cannot camp
(1) w/in 1000 ft of a school,
(2) in or w/in 1000 ft of a city park,
(3) wildlife conservation areas,
(4) ""Major Transit Stops,"" lists 3 trolley stops and 225 bus stops,
(5) w/in 1000 ft of a shelter/safe camping/safe parking site.
Chula Vista, Cal., Code § 9.90.040 (2024)"
Chula Visa — (no code section cited in source),Enforcement,"Enforcement
(1) police may remove personal property; (2) camping is a public nuisance; (3) violation may be charged as misdemeanor or infraction."
Chula Visa — 9.90.030,Notice Requirements,"Notice Requirements
(1) At least 3 hrs written notice before violating 9.90.030; At least 24 hrs written notice before removal of property
(2) If City Manager/Police Department finds it ""reasonably necessary to remove [a] immediate threat,"" or if SDC directs city to remove property for public health and safety, may remove property w/out any notice.
Chula Vista, Cal., Code § 9.90.050 (2024)."
"Coronado — Coronado, Cal., Code § 40.48.010 (2015)",Prohibited Conduct,"Prohibited Conduct
(1) No camping/sleeping in public parks/beaches 11:00pm-5:00am.
(2) No campling/sleeping on any public street
(3) No loitering on public streets 11:00pm-5:00am.
Coronado, Cal., Code § 40.48.010 (2015)."
"Coronado — Coronado, Cal., Code § 40.48.012 (2015)",Prohibited Conduct,"Prohibited Conduct
(1) No tents/canopies/barricades in public parks/beaches 11pm-5am
(2) Can't leave tents/canopies/barricades unattended 5am-11pm
Coronado, Cal., Code § 40.48.012 (2015)."
"Coronado — Coronado, Cal., Code § 40.48.040",Prohibited Conduct,"Prohibited Conduct
Can't stand/sit on street/median/sidewalk in a manner that obstructs passage or to ""hinder/molest/annoy"" passerbys
Coronado, Cal., Code § 40.48.040."
"Del Mar — Del Mar, Cal., Code § 9.04.020",Prohibited Conduct,"Prohibited Conduct
(1) No camping overnight.
(2) Camping evidenced by bedrolls and tents
Del Mar, Cal., Code § 9.04.020."
"El Cajon — El Cajon, Cal. Code § 2.56.010",Definitions,"Definitions
(1) Camping in parks = living/spending inordinary amount of time in a park with ""camp paraphenelia""
(2) Camp paraphenelia ""includ[es], but [is] not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, luggage, backpacks, kitchen utensils, cookware, and similar material""
El Cajon, Cal. Code § 2.56.010."
"El Cajon — El Cajon, Cal. Code §§ 9.36.020, 9.36.025",Prohibited Conduct,"Prohibited Conduct
Prohibits sleeping or camping on city property
El Cajon, Cal. Code §§ 9.36.020, 9.36.025."
"El Cajon — El Cajon, Cal. Code § 12.08.010-20",Prohibited Conduct,"Prohibited Conduct
(1) Cannot occupy public street/sidewalk/alley for any purpose besides normal pedestrian traffic.
(2) May not loiter in a manner that ""maliciously obstruct[s] or interfere[s] with free passage.""
El Cajon, Cal. Code § 12.08.010-20."
Encinitas — (no code section cited in source),Introduced Feb. 2025,"Introduced Feb. 2025
Proposes collaboration between CA DOT and local gov'ts to clear existing homeless encampments on DOT property and prevent new encampments from forming.
S.B. 569"
"Encinitas — Encinitas, Cal. Code § 9.01.020 (2004)",Prohibited Conduct,"Prohibited Conduct
(1) No camping on public property
Encinitas, Cal. Code § 9.01.020 (2004)."
"Encinitas — Encinitas, Cal. Code § 9.01.020 (2004)",Definitions,"Definitions
""'Camping' is evidenced by, among other things, the establishment of sleeping accommodations; the use of a bedroll or sleeping bag; the erection or maintenance of a shelter""
Encinitas, Cal. Code § 9.01.020 (2004)."
"Escondido — Escondido, Cal. Code § 17-7",Definitions,"Definitions
Camping = ""remaining for prolonged or repetitious periods of time not associated with ordinary recreational use of a park with one's personal property (including, but not limited to, clothing, sleeping bags, bedrolls, blankets, sheets, tents, tarpaulins, luggage, backpacks, kitchen utensils, cookware, and similar material), sleeping or making preparations to sleep, regularly cooking or consuming meals, or living in a parked vehicle""
Escondido, Cal. Code § 17-7"
"Escondido — Escondido, Cal. Code § 17-8.4 (2024)",Prohibited Conduct,"Prohibited Conduct
No camping
(1) where there's an ""unreasonable risk of harm"" to people/public health/public safety or a disruption of vital gov't services
(2) w/in 500 ft of a school zone
(3) w/in 500 ft of a shelter if there's visible signage
(4) In any ""open space, waterway, or bank of a waterway.""
(5) in transit hubs(7) any park or open space where city manager considered camping to pose a substantial public health and safety
Escondido, Cal. Code § 17-8.4 (2024)."
"Escondido — Escondido, Cal. Code § 17-8.5 (2024)",Enforcement,"Enforcement
(1) Violation is a misdemeanor offense
(2) Subject to removal after 24 hr. written notice/expedited abatement
Escondido, Cal. Code § 17-8.5 (2024)."
"Imperial beach — Imperial Beach, Cal. Code § 12.5",Prohibited Conduct,"Prohibited Conduct
(1) Prohibits camping, lodging, or sleeping on or w/in any public property.
(2) Prohibits storage of personal items on public proeprty
Imperial Beach, Cal. Code § 12.5."
La Mesa — (no code section cited in source),Jan. 2025,"Jan. 2025
La Mesa Councilmember calls for policy of removing a homeless person from the city if help is turned down 15 times. No bill."
"La Mesa — La Mesa, Cal. Code §§ 10.52.020, 10.52.030",Definitions,"Definitions
(1) Camping is not limited to tents and can be anywhere where bedding is placed
(2) No person shall camp in or upon any city sidewalk, street, alley, lane, park, public right-of-way or any other place to which the general public has access, or under any bridgeway or viaduct
La Mesa, Cal. Code §§ 10.52.020, 10.52.030"
"Lemon Grove — Lemon Grove, Cal. Code §§ 9.36.090",Prohibited Conduct,"Prohibited Conduct
Prohibits camping or storage of property in any public place or street
Lemon Grove, Cal. Code §§ 9.36.090."
"Lemon Grove — Lemon Grove, Cal. Code § 9.36.100",Enforcement,"Enforcement
Violation = misdemeanor + fine < $500 or prison < 6 mo.
Lemon Grove, Cal. Code § 9.36.100."
"National City — National City, Cal. Code § 10.55.020 (2024)",Definitions,"Definitions
Has adopted San Diego City's code.
National City, Cal. Code § 10.55.020 (2024)."
"National City — National City, Cal. Code § 10.55.040 (2024)",Prohibited Conduct,"Prohibited Conduct
Has adopted San Diego City's code.
National City, Cal. Code § 10.55.040 (2024)."
"National City — National City, Cal. Code §§ 10.55.050, 10.55.060 (2024)",Enforcement,"Enforcement
Has adopted San Diego City's code.
National City, Cal. Code §§ 10.55.050, 10.55.060 (2024)."
"Oceanside — Oceanside, Cal. Code § 20.21.1(b) (2024)",Definitions,"Definitions
(1) Camping = ""to pitch or occupy camp facilities, or to use camp paraphernalia, for living purposes in an outdoor area."" NOT sleeping alone
(2) Camp facilities = tents/huts/shacks/other temp.shelters
(3) Camp paraphernalia = but is not limited to, tents or tent-like structures, cots, beds, hammocks or personal cooking facilities and similar equipment. NOT blankets/sleeping bags/bedrolls
(4) Obstruct ped./veh. traffic.= ""take evasive action to avoid physical contact""
(5) Open space = unimproved and designated for open space use
Oceanside, Cal. Code § 20.21.1(b) (2024)."
"Oceanside — Oceanside, Cal. Code § 20.21.1(c) (2024)",Prohibited Conduct,"Prohibited Conduct
(1) Cannot camp/occupy/use camp paraphenelia in a public space
(2) Cannot sit ""on . . . any object"" in a manner that obstructs ped./veh. traffic
(3) Cannot sleep in open space
(4) Cannot cook food in public space
Oceanside, Cal. Code § 20.21.1(c) (2024)."
"Oceanside — Oceanside, Cal. Code § 202.21.2(b) (2024)",Prohibited Conduct,"Prohibited Conduct
Cannot store personal property (including bed rolls) on public property unattended
Oceanside, Cal. Code § 202.21.2(b) (2024)"
"Oceanside — Oceanside, Cal. Code § 20.21.2(d) (2024)",Enforcement,"Enforcement
(1) Property may be removed after 24 hr written notice
(2) Property may be reclaimed w/in 90 days by identifying property and approx. location it was left
Oceanside, Cal. Code § 20.21.2(d) (2024)."
"Poway — Poway, Cal. Code § 8.26.020 (2023)",Definitions,"Definitions
Camping is
(1) Residing in or using any public area or private property for living accommodation or habitation purposes
(2) constructing/maintaining/using camping facilities or paraphenelia even if not in active use (bedding included)
Poway, Cal. Code § 8.26.020 (2023)"
"Poway — Poway, Cal. Code § 8.26.030 (2023)",Prohibited Activities,"Prohibited Activities
Cannot camp on public property or private property w/ permission
Poway, Cal. Code § 8.26.030 (2023)."
"Poway — Poway, Cal. Code § 8.26.070 (2023)",Enforcement,"Enforcement
(1) 24 hrs. written notice before removal
(2) Property may be reclaimed w/in 90 days (unclear on what instructions will provided to owners)
Poway, Cal. Code § 8.26.070 (2023)."
"San Diego — San Diego, Cal. Code § 63.0402 (2024)",Definitions,"Definitions
(1) ""Camp"" or ""Camping"" means to place, pitch, erect, or occupy an encampment, or to use camp paraphernalia or both, for the purpose of, or in a way that facilitates outdoor sheltering for living, accommodation or habitation purposes or for remaining outdoors overnight.
(2) ""Camp Paraphernalia"" includes, but is not limited to, tarps, cots, beds, sleeping bags, hammocks, bedrolls, camp stoves, cooking equipment, buckets, and similar equipment or items that are accessory to encampments, mattresses, couches, dressers, or other
San Diego, Cal. Code § 63.0402 (2024)."
"San Diego — San Diego, Cal. Code § 63.0404 (2024)",Prohibited Conduct,"Prohibited Conduct
Public nuisance to camp, use camp paraphenelia or accumulate waste
(1) on public property
(2) w/in 2 blocks of a school
(3) in waterways
(4) w/in transit hubs
San Diego, Cal. Code § 63.0404 (2024)."
"San Diego — San Diego, Cal. Code §§ 63.0405-06 (2024)",Enforcement,"Enforcement
(1) Encampments may be removed
(2) Violation is a misdemeanor
San Diego, Cal. Code §§ 63.0405-06 (2024)."
"San Marcos — San Marcos, Cal. Code § 10.33 (2024)",Has adopted San Diego City's code,"Has adopted San Diego City's code
San Marcos, Cal. Code § 10.33 (2024)"
"Santee — Santee, Cal. Code § 7.20.020 (2019)",Defintions,"Defintions
Camping includes use of bedding
Santee, Cal. Code § 7.20.020 (2019)."
"Santee — Santee, Cal. Code §§ 7.20.030-60",Prohibited Conduct,"Prohibited Conduct
(1) sitting or lying down on the sidewalk or any object placed on the sidewalk in most city zones
(2) loitering where no loitering signs have been posted and verban notice has been given
(3) loitering around public transportation facilities after 48 hr. verbal notice
(4) camping w/in 1000 ft of a waterbody
(5) camping in a park
(6) camping on sidewalks or streets in a manner that obstructs traffic
Santee, Cal. Code §§ 7.20.030-60"
"Solana Beach — Solana Beach, Cal. Code §§ 6.24.010-20",Prohibited Conduct,"Prohibited Conduct
(1) Unlawful to pitch tent/create temp. structure in public space
(2) May not sleep in public space within any camp/shelter
Solana Beach, Cal. Code §§ 6.24.010-20 ("
San Diego — (no code section cited in source),Proposed anti-camping provision,"March 2025- San Diego Board of Supervisors passed Unsafe Camping Ordinance for 2025 - The board, after approving the motion in a 4-0 vote Tuesday, will review and vote on a draft ordinance in two months. If that is approved, it will require a second vote to become law under county policy."
Aliso Viejo — (no code section cited in source),Proposed anti-camping provision,Nov. 2024 Unanimous vote to remove the exception in their anti-camping law (no beds needed in shelters to arrest for homelessness)
Newport Beach — (no code section cited in source),Proposed anti-camping provision,"Aug. 2024 Greater prohibitions on sleeping in public places, setting up camps, and leaving property unattended"
Fullerton — (no code section cited in source),Proposed anti-camping provision,"March 2025 Further tightening on anti-camping laws, criminalizing of homeless people"
Garden Grove — (no code section cited in source),Proposed anti-camping provision,"Approved Nov. 2024, ""prohibits camping, sleeping, storing personal property on public places, or interfering with public access to public places"""
Newport Beach — (no code section cited in source),Passed Aug. 2024 further restricting camping,Passed Aug. 2024 further restricting camping
Cypress — (no code section cited in source),Anti-camping/enforcement provision,"3/11/2024 (pre-GP) there was a hearing to adjust their park rules, no overnight camping in parks"
Huntington Beach — (no code section cited in source),Anti-camping/enforcement provision,Seems like the anti-homelessness laws have been strict and unchanged since 2022
Irvine — (no code section cited in source),Proposed anti-camping provision,"Nov 2024 Irvine has no homeless shelter, but ability clear out homeless shelters with only 24 hours notice,"
Banning — (no code section cited in source),Anti-camping/enforcement provision,"Unlawful camping ordinance. Specifies that sleeping on its own does not constitute camping, but includes sleeping bags and bedrolls as ""camp paraphernalia"" such that if sleeping bags/bedrolls are used ""in such a way as will facilitate sleeping,"" it is unlawful camping. Adopted 4/23/2024 (pre-Grants Pass)"
Banning — (no code section cited in source),Anti-camping/enforcement provision,"Sitting, lying, sleeping in public places is unlawful if obstructing traffic, between 6am and 10pm. Includes sleeping in vehicle parked in public. From 10pm to 6am, sleeping prohibited in public UNLESS no sleeping/shelter spaces practically available. Adopted 4/23/2024 (pre-Grants Pass)"
Beaumont — (no code section cited in source),Anti-camping/enforcement provision,"Unlawful camping/unlawful storage of personal property ordinance. Encapsulates public/private property. Includes bedrolls as ""camp paraphernalia."" Adopted 9/3/2024 (post-Grants Pass)"
Canyon Lake — (no code section cited in source),Anti-camping/enforcement provision,"Sitting, lying, sleeping, or storing property in public right of way prohibited. Adopted 10/6/2021."
Canyon Lake — (no code section cited in source),Anti-camping/enforcement provision,"Camping prohibited on public/private property, including sleeping in a vehicle. Adopted 7/10/2013."
Calimesa — (no code section cited in source),Proposed anti-camping provision,"Two proposed ordinances related to homelessness in November 2024 city council meeting agenda. Agenda explicitly references Grants Pass decision as motivation to prepare ordinances ""specifically related to homelessness."" One prohibits unlawful camping/using camp paraphernalia on public property, obstructing right of ways, sitting and lying on public benches, & public urination/defecation; the other declares shopping cart use for personal belongings a public nuisance"
Cathedral City — (no code section cited in source),Anti-camping/enforcement provision,Prohibits sleeping vehicles parked in public places. Adopted in 1982.
Coachella — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags. Adopted 2/10/2016."
Corona — § 9.26.020.),Anti-camping/enforcement provision,"Camping and storage of personal property prohibited on public property. (`78 Code, § 9.26.020.) (Ord. 3160 § 4, 2013; Ord. 2833 § 3 (part), 2006; Ord. 2619 § 1, 2002: Ord. 2256 § 1, 1995.)"
Desert Hot Springs — (no code section cited in source),Anti-camping/enforcement provision,"Unlawful to camp or use camp paraphernalia (including sleeping bags) on any street, public parking lot, or private property, and to store personal property in any park, street, public property, or private property without owner/tenant consent. Adopted 12/3/2019."
Eastvale — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass)"
Hemet — (no code section cited in source),Anti-camping/enforcement provision,"Under ""disorderly conduct,"" prohibits obstructing public property by sitting/lying/storing personal property (adopted 1/11/2022), eating/resting as well as sleeping in a vehicle (adopted 7/8/2003), and camping on private property (adopted 1/11/2022)"
Indian Wells — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2012."
Indo — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping and storing personal property in public spaces. Camping explicitly includes sleeping ""for living accommodation purposes"" and occurs whether or not a full night is spent. Amended 8/21/2024 (post-Grants Pass). Staff report discussing amendment references Grants Pass decision as motivation for amendment."
Jurupa Valley — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 9/5/2024 (post-Grants Pass). Exception for ""emergency public health and safety activities."""
"La Quinta — § 8, 2018",Anti-camping/enforcement provision,"Camping/remaining overnight prohibited in public parks and recreation areas. One of many provisions under ""prohibited conduct"" in parks/rec section. No specific language appearing to target homeless population. (Ord. 568 § 8, 2018; Ord. 510 § 1, 2013; Ord. 360 § 1, 2001; Ord. 10 § 1, 1982)"
Lake Elsinore — (no code section cited in source),Anti-camping/enforcement provision,"No comprehensive unlawful camping ordinance, but three separate ordinances that are relevant. One prohibits camping on private property without owner's consent (adopted 2015), one prohibits camping on public parks and beaches (adopted 2016), and one declares shopping carts a public nuisance (adopted 2016)."
Menifee — § 11.21.030(,Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Sets out procedure to refer homeless people sitting/lying/sleeping on public property when no shelter is available to ""Outreach & Engagement Personnel"" before arresting or citing them. BUT states that ""These procedures under § 11.21.030(B)(2) are only mandatory during the timeframe that the case of Martin v. City of Boise 902 F.3d 1031 (9th Cir. 2018) is applicable law within the jurisdiction of the Ninth Circuit."" Adopted 10/20/2021."
Moreno Valley — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property on public streets, sidewalks, right-of-ways, parks, and any other improved or unimproved public land. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2004."
Norco — (no code section cited in source),Anti-camping/enforcement provision,"""Camp space and squatter camps"" ordinance prohibitng camping on public/private property unless a number of sanitation requirements are met. Camping defined differently than in many other codes: ""'Camp space' is any place where one or more tents are erected or maintained for hire for living or sleeping quarters for one or more families, or where one or more tents or camp cars or trailers or where one or more families are camping with the expressed consent of the owner or person legally in charge of the land upon which such camp space is located."" Adopted 1964."
Palm Desert — (no code section cited in source),Anti-camping/enforcement provision,"Prohibits camping/using camp paraphernalia and storing personal property in public. ""Camp paraphernalia"" includes sleeping bags and bed rolls. Adopted 2009."
Palm Springs — (no code section cited in source),Anti-camping/enforcement provision,"Explicitly bans encampments & lays out specific procedures for clearing them. Explicitly bans encampments regardless of shelter bed availability in a number of situations, including ""unreasonable risk to harm or public safety,"" when there is a ""Disruption to any business, store, religious institution, educational facility, or government services,"" and ""in any open space, waterway, or banks of a waterway."" Probably the most comprehensive and strict anti-homeless law I've encountered."
